Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,SE_T015_018,SE_T015_019,SE_T015_020,SE_T015_021,SE_T015_022,SE_T015_023,SE_T015_024,SE_T015_025,SE_T015_026,SE_T015_027,SE_T015_028,SE_T015_029,SE_T015_030,SE_T015_031
"01001","05000US01001","Autauga County, Alabama","Autauga County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55049,53633,1416,859,240,82,19,71,0,12,0,0,0,59,0,65,0,0,0,65,0,0,0,0,0,0,80,20,60,0,0
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199510,190798,8712,5887,772,114,53,880,250,228,54,37,269,42,0,580,14,0,110,118,50,0,67,0,221,0,426,214,41,0,171
"01005","05000US01005","Barbour County, Alabama","Barbour County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26614,25467,1147,900,29,4,0,26,0,9,11,0,0,6,0,34,0,0,0,0,0,0,0,34,0,0,154,19,19,0,116
"01007","05000US01007","Bibb County, Alabama","Bibb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22572,22070,502,181,13,8,0,135,0,85,0,0,0,50,0,68,0,0,0,68,0,0,0,0,0,0,97,0,0,0,97
"01009","05000US01009","Blount County, Alabama","Blount County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57704,52668,5036,4653,130,41,0,133,0,124,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,3,0,0,76
"01011","05000US01011","Bullock County, Alabama","Bullock County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10552,10539,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"01013","05000US01013","Butler County, Alabama","Butler County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20280,20027,253,222,0,0,0,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115883,111901,3982,2618,590,95,0,215,0,143,0,0,33,39,0,188,0,5,0,80,20,0,83,0,0,0,276,121,0,0,155
"01017","05000US01017","Chambers County, Alabama","Chambers County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34018,33870,148,69,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9
"01019","05000US01019","Cherokee County, Alabama","Cherokee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25897,25492,405,328,0,0,0,7,0,0,5,0,0,2,0,15,0,0,0,0,0,0,0,0,15,0,55,51,0,0,4
"01021","05000US01021","Chilton County, Alabama","Chilton County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43817,40476,3341,2904,40,89,0,217,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,54,0,9,28
"01023","05000US01023","Choctaw County, Alabama","Choctaw County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13287,13213,74,28,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","05000US01025","Clarke County, Alabama","Clarke County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24847,24804,43,10,14,0,0,18,0,0,0,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"01027","05000US01027","Clay County, Alabama","Clay County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13483,13064,419,318,0,16,0,48,0,25,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,37
